E:\DocsHouse\758>python3.13 cable_neuron.py
=======================================================
BiologicalCableNeuron — semi-implicit PDE + AIS grating
=======================================================
Device : cuda
Params : 71  (cable geometry + AIS + gamma + threshold)
Trial  : 200 steps × 0.5 ms = 100 ms
τ_m    ≈ 125 ms  (inter-pulse gap = 50 ms)

Temporal XOR requires physical wave interference.
A linear Fourier synthesizer cannot solve this task.
The cable nonlinearity is the computation.

ep 0300  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.53
ep 0301  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.52
ep 0302  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.51
ep 0303  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.51
ep 0304  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.50
ep 0305  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.50
ep 0306  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.49
ep 0307  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.49
ep 0308  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.48
ep 0309  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.48
ep 0310  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.47
ep 0311  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.46
ep 0312  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.46
ep 0313  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.45
ep 0314  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.45
ep 0315  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.44
ep 0316  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.44
ep 0317  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.43
ep 0318  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.43
ep 0319  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.42
ep 0320  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.42
ep 0321  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.41
ep 0322  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.41
ep 0323  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.40
ep 0324  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.40
ep 0325  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.39
ep 0326  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.39
ep 0327  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.38
ep 0328  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.38
ep 0329  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.38
ep 0330  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.37
ep 0331  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.37
ep 0332  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.36
ep 0333  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.36
ep 0334  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.35
ep 0335  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.35
ep 0336  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.34
ep 0337  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.34
ep 0338  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.34
ep 0339  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.33
ep 0340  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.33
ep 0341  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.32
ep 0342  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.32
ep 0343  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.31
ep 0344  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.31
ep 0345  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.31
ep 0346  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.30
ep 0347  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.30
ep 0348  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.29
ep 0349  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.29
ep 0350  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.29
ep 0351  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.28
ep 0352  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.28
ep 0353  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.27
ep 0354  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.27
ep 0355  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.27
